metrics,sample,durable_ns,write_ns,commit_ns,cursor_calls
on,1,40449278,13545880,26902806,20480
off,1,39994865,13220510,26773965,0
off,2,39960701,13180315,26780036,0
on,2,40556267,13725757,26830109,20480
on,3,39626855,13496057,26130438,20480
off,3,39590717,13183641,26406766,0
off,4,39842780,13143846,26698623,0
on,4,40557420,13700920,26856218,20480
on,5,40181395,13567190,26613834,20480
off,5,39451727,13193940,26257506,0
off,6,39893564,13081158,26812076,0
on,6,40459116,13839461,26619264,20480
on,7,39723607,13654965,26067991,20480
off,7,39377998,13206594,26171094,0
off,8,39592100,13099142,26492727,0
on,8,40586824,13795217,26791387,20480
on,9,40072671,13500735,26571214,20480
off,9,40145026,13514581,26630185,0
off,10,39839974,13086418,26753275,0
on,10,40175113,13781421,26393351,20480
on,11,40055889,13508009,26547169,20480
off,11,39543629,13151681,26391667,0
off,12,40234234,13337750,26896144,0
on,12,40029339,13821086,26207632,20480
on,13,40035041,13615610,26419018,20480
off,13,39944321,13193018,26750931,0
off,14,40062051,13178682,26883079,0
on,14,40911213,13724325,27186628,20480
on,15,39840525,13601063,26239132,20480
off,15,39976120,13259312,26716597,0
off,16,40145508,13141942,27003215,0
on,16,40480696,13698897,26781438,20480
on,17,40100162,13608528,26491404,20480
off,17,40147201,13241189,26905732,0
off,18,39747291,13103722,26643329,0
on,18,40759599,13832718,26926761,20480
on,19,39919023,13498761,26419891,20480
off,19,39918141,13215320,26702611,0
off,20,39733335,13062364,26670350,0
on,20,40199348,13713234,26485774,20480
on,21,39905387,13537875,26367152,20480
off,21,40201973,13210962,26990881,0
off,22,39804027,13239906,26563811,0
on,22,40661905,13699979,26961796,20480
on,23,39828684,13501296,26326686,20480
off,23,40045049,13166248,26878420,0
off,24,39880792,13041163,26839277,0
on,24,40628663,13805808,26822555,20480
on,25,40342517,13585254,26756942,20480
off,25,39733155,13218096,26514628,0
off,26,40167749,13065319,27102010,0
on,26,40590291,13685432,26904399,20480
on,27,40332117,13467283,26864724,20480
off,27,39523672,13148044,26375317,0
off,28,40358176,13278860,27079006,0
on,28,40604228,13804726,26799231,20480
on,29,39990877,13467513,26523134,20480
off,29,39895249,13110052,26784894,0
off,30,39899486,13048808,26850147,0
on,30,40815564,13736297,27079016,20480
on,31,39950753,13458646,26491805,20480
off,31,39484969,13156540,26328309,0
off,32,40269490,13183100,27085990,0
on,32,40658740,13670373,26988136,20480
on,33,40545688,13600242,26945326,20480
off,33,40025462,13044450,26980372,0
off,34,39526827,13095696,26430450,0
on,34,40216821,13726859,26489701,20480
on,35,40518297,13577119,26940847,20480
off,35,39597990,13225048,26372682,0
off,36,40113227,13103079,27009426,0
on,36,40693856,13767626,26926080,20480
on,37,40785728,13711380,27073656,20480
off,37,40049508,13123098,26926179,0
off,38,40058153,13110063,26947690,0
on,38,40666265,13758198,26907845,20480
on,39,39871053,13460189,26410443,20480
off,39,40441943,13643002,26798721,0
off,40,40173980,13198689,26974881,0
on,40,40268378,13780761,26487336,20480
