metrics,sample,durable_ns,write_ns,commit_ns,cursor_calls
on,1,56999361,13568653,43430267,20480
off,1,56107368,13096328,43010750,0
off,2,56170086,13124550,43044935,0
on,2,57825620,13839902,43985488,20480
on,3,57387469,13517316,43869701,20480
off,3,56324496,13358358,42965956,0
off,4,56730918,13275824,43454683,0
on,4,56939048,13773397,43165380,20480
on,5,58397322,13654844,44741636,20480
off,5,57616929,13227002,44389737,0
off,6,57643329,13210702,44432477,0
on,6,58375351,13743741,44631429,20480
on,7,57646054,13455280,44190433,20480
off,7,59237107,13303966,45933030,0
off,8,55534765,13159326,42375289,0
on,8,56591426,13898541,42692644,20480
on,9,59977475,13623055,46354040,20480
off,9,59826231,13297434,46528597,0
off,10,59233531,13155698,46077240,0
on,10,60743211,13708295,47034676,20480
on,11,59294425,13405016,45888857,20480
off,11,59368082,13181737,46186165,0
off,12,59044836,13222934,45821470,0
on,12,58055271,13519450,44535530,20480
on,13,60170988,13730757,46439921,20480
off,13,58446946,13204019,45242695,0
off,14,58103621,13283538,44819562,0
on,14,58552924,13735265,44817398,20480
on,15,58121354,13544968,44576266,20480
off,15,59473861,13344593,46128997,0
off,16,59533543,13154606,46378495,0
on,16,58201465,13665354,44536001,20480
on,17,59049014,13464428,45584366,20480
off,17,58822920,13186466,45636274,0
off,18,59256363,13187808,46068194,0
on,18,60008393,13763418,46244814,20480
on,19,57693513,13611834,44081397,20480
off,19,58314336,13256227,45057769,0
off,20,58171408,13228795,44942463,0
on,20,58246389,13682857,44563272,20480
on,21,59760037,13575386,46184321,20480
off,21,58182199,13222063,44959946,0
off,22,59671240,13234085,46436875,0
on,22,59521440,13749082,45772218,20480
on,23,59270529,13541712,45728125,20480
off,23,59080373,13296122,45784071,0
off,24,58215892,13261567,44953724,0
on,24,58108070,13656147,44451643,20480
on,25,59282292,13549618,45732403,20480
off,25,58457174,13275744,45181200,0
off,26,58808773,13221542,45587021,0
on,26,59369164,13805377,45563547,20480
on,27,58783285,13469287,45313548,20480
off,27,59453442,13328363,46124759,0
off,28,58907779,13216953,45690225,0
on,28,58278880,13748661,44530099,20480
on,29,58985525,13503040,45482164,20480
off,29,57691108,13255034,44435933,0
off,30,58064308,13289860,44774067,0
on,30,58854469,13659183,45195066,20480
on,31,55951326,13576247,42374888,20480
off,31,54622504,13127135,41495228,0
off,32,54743010,13204049,41538359,0
on,32,53606710,13699027,39907561,20480
on,33,54929910,13546311,41383389,20480
off,33,50576598,13181557,37394670,0
off,34,40084243,13264753,26819129,0
on,34,40311969,13676895,26634943,20480
on,35,40748047,13691002,27056885,20480
off,35,39948809,13118920,26829689,0
off,36,40009683,13165878,26843615,0
on,36,40015744,13799406,26216158,20480
on,37,40285850,13574944,26710655,20480
off,37,40012679,13191366,26821193,0
off,38,39986871,13287897,26698823,0
on,38,39953708,13695671,26257817,20480
on,39,40139065,13494884,26644061,20480
off,39,40013149,13395057,26617902,0
off,40,39959279,13216794,26742245,0
on,40,40626609,13807300,26818968,20480
