metrics,sample,durable_ns,write_ns,commit_ns,cursor_calls
on,1,55870866,13236069,42634535,20480
off,1,55644452,12978828,42665484,0
off,2,54444772,13100386,41344246,0
on,2,56173683,13805377,42368086,20480
on,3,55409331,13232764,42176376,20480
off,3,55989208,13082512,42906546,0
off,4,56004085,13122487,42881378,0
on,4,54431907,13689690,40742087,20480
on,5,55005944,13172691,41833103,20480
off,5,54687848,13099715,41587993,0
off,6,53040259,13034581,40005365,0
on,6,54714968,13701763,41013035,20480
on,7,54875569,13297645,41577634,20480
off,7,55029338,13047215,41981943,0
off,8,56036957,13168774,42867993,0
on,8,56016489,13686093,42330305,20480
on,9,57021283,13200934,43820139,20480
off,9,56017912,13023911,42993579,0
off,10,51556085,13132866,38422969,0
on,10,54097170,13783246,40313754,20480
on,11,57196592,13135161,44061181,20480
off,11,57879903,13047546,44832247,0
off,12,57805043,13067734,44737099,0
on,12,57449145,13549196,43899698,20480
on,13,58744274,13157763,45586311,20480
off,13,57924888,13091939,44832728,0
off,14,57007717,13030815,43976722,0
on,14,58810588,13771674,45038614,20480
on,15,57703513,13241940,44461371,20480
off,15,58415057,13142043,45272903,0
off,16,57485754,13217555,44268039,0
on,16,56995525,13722161,43273203,20480
on,17,59025982,13194552,45831270,20480
off,17,57881055,13031225,44849690,0
off,18,57838115,13017760,44820125,0
on,18,57912224,13919972,43992021,20480
on,19,57214205,13208507,44005326,20480
off,19,58839202,13048527,45790433,0
off,20,58370834,13103030,45267633,0
on,20,57824930,13707904,44116896,20480
on,21,58244487,13450311,44793865,20480
off,21,57776469,13235879,44540460,0
off,22,58700843,13337169,45363593,0
on,22,59317148,13745726,45571072,20480
on,23,57839848,13205763,44633925,20480
off,23,58360745,13034161,45326443,0
off,24,57949844,12963999,44985745,0
on,24,58067885,13789126,44278619,20480
on,25,59421013,13234246,46186657,20480
off,25,57305406,13283539,44021747,0
off,26,57824810,13056022,44768467,0
on,26,58335858,13718945,44616813,20480
on,27,57869383,13169375,44699718,20480
off,27,58748131,13281765,45466175,0
off,28,56925884,13073786,43851898,0
on,28,57281040,13803443,43477486,20480
on,29,58449711,13256558,45192913,20480
off,29,58194483,13058677,45135635,0
off,30,58628687,13002431,45625875,0
on,30,58767267,13826587,44940500,20480
on,31,57712429,13258131,44453977,20480
off,31,58156892,13185454,44971007,0
off,32,57260943,13208297,44052264,0
on,32,58010147,13831967,44178060,20480
on,33,57717278,13316310,44400527,20480
off,33,56339965,13072102,43267562,0
off,34,57453733,13113530,44339433,0
on,34,57828918,13849169,43979417,20480
on,35,57151257,13306501,43844495,20480
off,35,56609711,13117196,43492284,0
off,36,55524737,13082201,42442275,0
on,36,57267284,13987629,43279355,20480
on,37,57622961,13278129,44344712,20480
off,37,56796040,13086970,43708960,0
off,38,56898613,13171429,43726894,0
on,38,56831016,13755053,43075853,20480
on,39,55908997,13402933,42505954,20480
off,39,57499159,13070800,44428239,0
off,40,56337621,13009285,43327986,0
on,40,57624975,13773087,43851758,20480
