metrics,sample,durable_ns,write_ns,commit_ns,cursor_calls
on,1,39746389,13253802,26492377,20480
off,1,40407478,13303455,27103753,0
off,2,39953387,13225239,26727828,0
on,2,40400916,13530000,26870725,20480
on,3,39748313,13266877,26481115,20480
off,3,40418279,13159095,27258954,0
off,4,40362434,13186136,27176048,0
on,4,40034509,13503771,26530568,20480
on,5,39720229,13237983,26481906,20480
off,5,40166136,13270955,26894910,0
off,6,39997429,13232532,26764727,0
on,6,40402619,13599371,26802668,20480
on,7,39714379,13182279,26531840,20480
off,7,39742802,13127145,26615376,0
off,8,40181956,13138155,27043630,0
on,8,40651516,13438028,27213338,20480
on,9,39598913,13198028,26400313,20480
off,9,40191083,13265375,26925157,0
off,10,40083451,13214990,26868230,0
on,10,40132092,13476661,26655151,20480
on,11,39792095,13351616,26440088,20480
off,11,40337507,13271956,27065150,0
off,12,40144685,13103701,27040754,0
on,12,40577497,13545609,27031738,20480
on,13,40255023,13365813,26889069,20480
off,13,39750867,13052555,26698142,0
off,14,39484708,13115823,26368664,0
on,14,40313101,13405416,26907474,20480
on,15,39765164,13324465,26440499,20480
off,15,40323892,13283548,27040184,0
off,16,40475706,13158824,27316662,0
on,16,40609747,13461682,27147915,20480
on,17,40490865,13317141,27173343,20480
off,17,40390587,13210551,27179564,0
off,18,40399633,13224347,27175176,0
on,18,40726767,13494634,27231863,20480
on,19,40225106,13188280,27036536,20480
off,19,40323321,13225750,27097381,0
off,20,40042103,13174724,26867269,0
on,20,40291982,13441774,26849987,20480
on,21,40298083,13325026,26972717,20480
off,21,39590245,13163312,26426753,0
off,22,40435691,13246539,27188932,0
on,22,40620567,13533977,27086440,20480
on,23,40505923,13296903,27208880,20480
off,23,40482699,13198799,27283750,0
off,24,40291681,13129919,27161500,0
on,24,40661715,13557162,27104423,20480
on,25,40358868,13318834,27039763,20480
off,25,40442233,13196955,27245088,0
off,26,39994604,13132845,26861238,0
on,26,40467521,13432508,27034783,20480
on,27,39645049,13202516,26442432,20480
off,27,40162269,13155347,27006721,0
off,28,39766927,13138216,26628561,0
on,28,40341955,13492830,26848925,20480
on,29,39616124,13206374,26409200,20480
off,29,40212914,13226191,26986443,0
off,30,40255673,13178932,27076501,0
on,30,40384295,13473514,26910360,20480
on,31,39594033,13296693,26297050,20480
off,31,40058474,13218887,26839367,0
off,32,39950442,13197587,26752584,0
on,32,40435120,13499964,26935056,20480
on,33,40075366,13415285,26659810,20480
off,33,39999644,13230598,26768895,0
off,34,40079734,13278048,26801496,0
on,34,40321307,13501697,26819500,20480
on,35,39618328,13389226,26228802,20480
off,35,39504285,13215510,26288654,0
off,36,40159674,13277517,26882027,0
on,36,40344610,13568964,26775496,20480
on,37,39731481,13177409,26553831,20480
off,37,40072149,13202616,26869413,0
off,38,39859751,13248853,26610477,0
on,38,40280971,13482902,26797859,20480
on,39,39661991,13207736,26454015,20480
off,39,40003521,13289329,26713942,0
off,40,39865893,13139077,26726475,0
on,40,40185712,13510563,26674979,20480
