metrics,sample,durable_ns,write_ns,commit_ns,cursor_calls
on,1,55560654,13133788,42426706,20480
off,1,57984710,13359321,44625208,0
off,2,57107996,13082120,44025635,0
on,2,57091174,13522818,43567996,20480
on,3,56796191,13138346,43657564,20480
off,3,55792358,13043288,42748920,0
off,4,56341949,13090577,43251212,0
on,4,56852236,13453908,43398058,20480
on,5,55395464,13225099,42170145,20480
off,5,56512038,13074466,43437201,0
off,6,55975672,13020555,42954987,0
on,6,56592980,13373478,43219262,20480
on,7,57824399,13355564,44468595,20480
off,7,58221243,13044009,45177044,0
off,8,58779029,12987694,45791124,0
on,8,58494004,13343221,45150573,20480
on,9,57733689,13115453,44617875,20480
off,9,51896723,12989587,38906895,0
off,10,58173954,13143916,45029787,0
on,10,59224734,13375942,45848482,20480
on,11,59308031,13127436,46180455,20480
off,11,58313886,12999275,45314391,0
off,12,59339589,13040162,46299267,0
on,12,58339364,13446314,44892770,20480
on,13,57611409,13239165,44372064,20480
off,13,58488514,12947348,45540965,0
off,14,58124992,13079696,45045186,0
on,14,59038786,13366184,45672442,20480
on,15,58634608,13201203,45432973,20480
off,15,57747064,13066602,44680311,0
off,16,59017616,13111055,45906461,0
on,16,58674914,13512238,45162356,20480
on,17,58509674,13174344,45334969,20480
off,17,59254530,13125602,46128738,0
off,18,58162944,13069317,45093186,0
on,18,59107585,13469848,45637396,20480
on,19,58451815,13264172,45187282,20480
off,19,58002432,13035594,44966508,0
off,20,59246325,13213137,46032808,0
on,20,58558344,13398774,45159119,20480
on,21,58609701,13341738,45267503,20480
off,21,58302405,13004234,45297859,0
off,22,57222701,13242872,43979387,0
on,22,58619089,13524621,45093817,20480
on,23,58272279,13414725,44857273,20480
off,23,57655001,12999897,44654934,0
off,24,58246730,13076560,45169710,0
on,24,57514617,13450521,44063765,20480
on,25,58765233,13374930,45390193,20480
off,25,58309508,13035052,45274256,0
off,26,57585551,13132475,44452715,0
on,26,58953276,13487871,45465133,20480
on,27,58285764,13215541,45069902,20480
off,27,58065691,13080677,44984732,0
off,28,59252687,13037568,46214598,0
on,28,59138293,13431025,45706987,20480
on,29,59540576,13242361,46297965,20480
off,29,60048990,13015636,47033224,0
off,30,59341424,13008242,46332941,0
on,30,60816529,13381202,47435147,20480
on,31,58958565,13246650,45711545,20480
off,31,57802858,13090827,44711580,0
off,32,58264504,13261407,45002787,0
on,32,57458583,13441585,44016758,20480
on,33,58186428,13246649,44939277,20480
off,33,57888068,13029633,44858165,0
off,34,57066157,13239505,43825969,0
on,34,58080950,13382044,44698675,20480
on,35,56805167,13333923,43471014,20480
off,35,56794988,13054499,43740369,0
off,36,57280268,13130261,44149647,0
on,36,56695671,13335235,43359996,20480
on,37,56084786,13165467,42919109,20480
off,37,55905190,13076601,42828419,0
off,38,55025891,12998614,42027197,0
on,38,56164977,13485427,42679399,20480
on,39,59016554,13300640,45715794,20480
off,39,56131975,13029953,43101872,0
off,40,57514387,13069477,44444490,0
on,40,57722988,13426897,44295730,20480
