metrics,sample,durable_ns,write_ns,commit_ns,cursor_calls
on,1,40219756,13179112,27040174,20480
off,1,39544781,13246990,26297431,0
off,2,40077490,13059878,27017250,0
on,2,40653850,13397281,27256288,20480
on,3,40347426,13262378,27084526,20480
off,3,40048906,13028459,27020246,0
off,4,40000606,13145068,26855217,0
on,4,40479574,13388686,27090508,20480
on,5,40049918,13373918,26675579,20480
off,5,39703329,13144317,26558761,0
off,6,39975047,13033399,26941448,0
on,6,40701009,13473023,27227615,20480
on,7,40270813,13225830,27044672,20480
off,7,39888436,13020264,26867961,0
off,8,39848610,13190594,26657716,0
on,8,39856445,13402331,26453333,20480
on,9,39703419,13292415,26410623,20480
off,9,39476743,13004325,26472058,0
off,10,40100844,13311330,26789143,0
on,10,40653510,13501457,27151433,20480
on,11,39896400,13216863,26679207,20480
off,11,40170744,13084665,27085839,0
off,12,39334998,12965823,26368925,0
on,12,40563771,13429031,27134440,20480
on,13,40211271,13236811,26974050,20480
off,13,39592119,13098381,26493488,0
off,14,39865162,13165597,26699204,0
on,14,40396378,13372655,27023372,20480
on,15,40275261,13223024,27052006,20480
off,15,39561392,13174604,26386498,0
off,16,40246287,13254373,26991583,0
on,16,40495193,13437417,27057386,20480
on,17,40222782,13303535,26918966,20480
off,17,39896219,13138917,26757012,0
off,18,40143333,13189401,26953571,0
on,18,40783895,13457033,27326380,20480
on,19,39747451,13127024,26620206,20480
off,19,39550150,12997852,26552098,0
off,20,39901059,12887385,27013363,0
on,20,40540849,13445862,27094606,20480
on,21,39965079,13373387,26591232,20480
off,21,39880701,12979499,26901032,0
off,22,39734336,13165768,26568128,0
on,22,39981921,13429031,26552630,20480
on,23,39752771,13112567,26639763,20480
off,23,39711894,13009314,26702300,0
off,24,40053935,13037357,27016068,0
on,24,40533364,13491468,27041486,20480
on,25,39717505,13360031,26357113,20480
off,25,39766085,13179744,26585821,0
off,26,39810268,13131824,26678114,0
on,26,40387571,13527265,26859865,20480
on,27,39710010,13278328,26431392,20480
off,27,39584696,13106567,26477909,0
off,28,40029560,13246578,26782680,0
on,28,40499691,13654945,26844256,20480
on,29,40065658,13300260,26765127,20480
off,29,39521076,13030865,26489951,0
off,30,39721923,13030584,26691069,0
on,30,39758952,13455581,26303111,20480
on,31,39792144,13179623,26612221,20480
off,31,39407904,13075418,26332236,0
off,32,39852669,13070648,26781578,0
on,32,39812974,13453096,26359637,20480
on,33,39864150,13260846,26603074,20480
off,33,39914454,13073635,26840308,0
off,34,39841147,13127706,26712900,0
on,34,40201813,13504994,26696569,20480
on,35,39987651,13201204,26786097,20480
off,35,39785453,13018751,26766461,0
off,36,39896200,13172439,26723520,0
on,36,39942426,13532425,26409651,20480
on,37,39930384,13141171,26788822,20480
off,37,39910937,13122877,26787790,0
off,38,39995606,13062995,26932271,0
on,38,40169483,13432507,26736735,20480
on,39,39883406,13136683,26746252,20480
off,39,39647694,13063295,26584138,0
off,40,39828753,13106105,26722307,0
on,40,40485615,13368768,27116677,20480
