case,prefault,sample,durable_ns,mincore_calls,prefault_writes,major_faults,resident_pages_before,total_pages
fresh,shadow,1,912864,0,0,0,-1,-1
fresh,off,1,1019783,0,0,138,-1,-1
fresh,on,1,996450,0,0,138,-1,-1
fresh,off,2,1057283,0,0,138,-1,-1
fresh,on,2,1175624,0,0,138,-1,-1
fresh,shadow,2,1158663,0,0,0,-1,-1
fresh,on,3,1135499,0,0,138,-1,-1
fresh,shadow,3,1055951,0,0,0,-1,-1
fresh,off,3,1030734,0,0,138,-1,-1
fresh,shadow,4,924866,0,0,0,-1,-1
fresh,off,4,974839,0,0,138,-1,-1
fresh,on,4,943932,0,0,138,-1,-1
fresh,off,5,1015686,0,0,138,-1,-1
fresh,on,5,1132794,0,0,138,-1,-1
fresh,shadow,5,1121242,0,0,0,-1,-1
fresh,on,6,1167670,0,0,138,-1,-1
fresh,shadow,6,1089443,0,0,0,-1,-1
fresh,off,6,1043558,0,0,138,-1,-1
fresh,shadow,7,948450,0,0,0,-1,-1
fresh,off,7,1005156,0,0,138,-1,-1
fresh,on,7,940595,0,0,138,-1,-1
fresh,off,8,1023530,0,0,138,-1,-1
fresh,on,8,1171066,0,0,138,-1,-1
fresh,shadow,8,1129929,0,0,0,-1,-1
fresh,on,9,1168752,0,0,138,-1,-1
fresh,shadow,9,1091898,0,0,0,-1,-1
fresh,off,9,1083843,0,0,138,-1,-1
fresh,shadow,10,960333,0,0,0,-1,-1
fresh,off,10,948019,0,0,138,-1,-1
fresh,on,10,943201,0,0,138,-1,-1
fresh,off,11,933372,0,0,138,-1,-1
fresh,on,11,1055299,0,0,138,-1,-1
fresh,shadow,11,1158362,0,0,0,-1,-1
fresh,on,12,1185924,0,0,138,-1,-1
fresh,shadow,12,1104882,0,0,0,-1,-1
fresh,off,12,1096697,0,0,138,-1,-1
warm,shadow,1,55740418,0,0,0,-1,-1
warm,off,1,57708492,0,0,0,-1,-1
warm,on,1,56508221,141,0,0,-1,-1
warm,off,2,57108151,0,0,0,-1,-1
warm,on,2,58319151,141,0,0,-1,-1
warm,shadow,2,55264801,0,0,0,-1,-1
warm,on,3,57781547,141,0,0,-1,-1
warm,shadow,3,56316494,0,0,0,-1,-1
warm,off,3,57708482,0,0,0,-1,-1
warm,shadow,4,54832955,0,0,0,-1,-1
warm,off,4,56843107,0,0,0,-1,-1
warm,on,4,57737236,141,0,0,-1,-1
warm,off,5,55810791,0,0,0,-1,-1
warm,on,5,56982418,141,0,0,-1,-1
warm,shadow,5,56119467,0,0,0,-1,-1
warm,on,6,56298932,141,0,0,-1,-1
warm,shadow,6,55380187,0,0,0,-1,-1
warm,off,6,57440032,0,0,0,-1,-1
warm,shadow,7,55391919,0,0,0,-1,-1
warm,off,7,55817323,0,0,0,-1,-1
warm,on,7,57244336,141,0,0,-1,-1
warm,off,8,56644337,0,0,0,-1,-1
warm,on,8,55439118,141,0,0,-1,-1
warm,shadow,8,54696682,0,0,0,-1,-1
warm,on,9,57060053,141,0,0,-1,-1
warm,shadow,9,54179687,0,0,0,-1,-1
warm,off,9,57931229,0,0,0,-1,-1
warm,shadow,10,56624911,0,0,0,-1,-1
warm,off,10,56759202,0,0,0,-1,-1
warm,on,10,58509238,141,0,0,-1,-1
warm,off,11,58034451,0,0,0,-1,-1
warm,on,11,51783916,141,0,0,-1,-1
warm,shadow,11,55676280,0,0,0,-1,-1
warm,on,12,59567413,141,0,0,-1,-1
warm,shadow,12,59517119,0,0,0,-1,-1
warm,off,12,58468122,0,0,0,-1,-1
cold,shadow,1,191319824,0,0,8915,0,18432
cold,off,1,1165113956,0,0,17837,4,18432
cold,on,1,178216242,141,8922,8915,0,18432
cold,off,2,1162343587,0,0,17837,0,18432
cold,on,2,187922401,141,8915,8922,0,18432
cold,shadow,2,185310417,0,0,8922,0,18432
cold,on,3,177446730,141,8922,8915,0,18432
cold,shadow,3,186611777,0,0,8915,0,18432
cold,off,3,1162898155,0,0,17837,0,18432
cold,shadow,4,184393599,0,0,8922,0,18432
cold,off,4,1161733434,0,0,17837,0,18432
cold,on,4,184508398,141,8915,8922,0,18432
cold,off,5,1158681819,0,0,17837,0,18432
cold,on,5,180064306,141,8922,8915,0,18432
cold,shadow,5,191739830,0,0,8915,0,18432
cold,on,6,185797760,141,8915,8922,0,18432
cold,shadow,6,181279216,0,0,8922,0,18432
cold,off,6,1162416002,0,0,17837,0,18432
cold,shadow,7,189669710,0,0,8915,0,18432
cold,off,7,1159179504,0,0,17837,0,18432
cold,on,7,177880759,141,8922,8915,0,18432
cold,off,8,1161210065,0,0,17837,0,18432
cold,on,8,187889323,141,8915,8922,0,18432
cold,shadow,8,185255900,0,0,8922,0,18432
cold,on,9,179393728,141,8922,8915,0,18432
cold,shadow,9,187485932,0,0,8915,0,18432
cold,off,9,1159980451,0,0,17837,0,18432
cold,shadow,10,184606432,0,0,8922,0,18432
cold,off,10,1159732111,0,0,17837,0,18432
cold,on,10,182737086,141,8915,8922,0,18432
cold,off,11,1166072908,0,0,17837,0,18432
cold,on,11,180304478,141,8922,8915,0,18432
cold,shadow,11,188967611,0,0,8915,0,18432
cold,on,12,183901615,141,8915,8922,0,18432
cold,shadow,12,180975813,0,0,8922,0,18432
cold,off,12,1370315148,0,0,17837,0,18432
