case,prefault,sample,durable_ns,mincore_calls,prefault_writes,major_faults,resident_pages_before,total_pages
fresh,shadow,1,914668,0,0,0,-1,-1
fresh,off,1,964711,0,0,138,-1,-1
fresh,on,1,975401,0,0,138,-1,-1
fresh,off,2,1130109,0,0,138,-1,-1
fresh,on,2,1155457,0,0,138,-1,-1
fresh,shadow,2,1121433,0,0,0,-1,-1
fresh,on,3,1156398,0,0,138,-1,-1
fresh,shadow,3,1051012,0,0,0,-1,-1
fresh,off,3,1040031,0,0,138,-1,-1
fresh,shadow,4,918826,0,0,0,-1,-1
fresh,off,4,968127,0,0,138,-1,-1
fresh,on,4,994607,0,0,138,-1,-1
fresh,off,5,1015796,0,0,138,-1,-1
fresh,on,5,1100033,0,0,138,-1,-1
fresh,shadow,5,1121323,0,0,0,-1,-1
fresh,on,6,1167259,0,0,138,-1,-1
fresh,shadow,6,1069006,0,0,0,-1,-1
fresh,off,6,1064817,0,0,138,-1,-1
fresh,shadow,7,957397,0,0,0,-1,-1
fresh,off,7,975531,0,0,138,-1,-1
fresh,on,7,964651,0,0,138,-1,-1
fresh,off,8,1050441,0,0,138,-1,-1
fresh,on,8,1081579,0,0,138,-1,-1
fresh,shadow,8,1164865,0,0,0,-1,-1
fresh,on,9,1188318,0,0,138,-1,-1
fresh,shadow,9,1083533,0,0,0,-1,-1
fresh,off,9,1095245,0,0,138,-1,-1
fresh,shadow,10,961354,0,0,0,-1,-1
fresh,off,10,980040,0,0,138,-1,-1
fresh,on,10,977275,0,0,138,-1,-1
fresh,off,11,1023851,0,0,138,-1,-1
fresh,on,11,1105934,0,0,138,-1,-1
fresh,shadow,11,1096808,0,0,0,-1,-1
fresh,on,12,1206222,0,0,138,-1,-1
fresh,shadow,12,1104933,0,0,0,-1,-1
fresh,off,12,1084645,0,0,138,-1,-1
warm,shadow,1,53950360,0,0,0,-1,-1
warm,off,1,56363945,0,0,0,-1,-1
warm,on,1,54854087,141,0,0,-1,-1
warm,off,2,55014045,0,0,0,-1,-1
warm,on,2,55874442,141,0,0,-1,-1
warm,shadow,2,55551109,0,0,0,-1,-1
warm,on,3,57382318,141,0,0,-1,-1
warm,shadow,3,55682564,0,0,0,-1,-1
warm,off,3,58382845,0,0,0,-1,-1
warm,shadow,4,49164206,0,0,0,-1,-1
warm,off,4,56554683,0,0,0,-1,-1
warm,on,4,59050881,141,0,0,-1,-1
warm,off,5,58114243,0,0,0,-1,-1
warm,on,5,58192549,141,0,0,-1,-1
warm,shadow,5,57357200,0,0,0,-1,-1
warm,on,6,57582522,141,0,0,-1,-1
warm,shadow,6,56327329,0,0,0,-1,-1
warm,off,6,58398665,0,0,0,-1,-1
warm,shadow,7,55888560,0,0,0,-1,-1
warm,off,7,56702739,0,0,0,-1,-1
warm,on,7,57418515,141,0,0,-1,-1
warm,off,8,57815226,0,0,0,-1,-1
warm,on,8,56592854,141,0,0,-1,-1
warm,shadow,8,55785096,0,0,0,-1,-1
warm,on,9,58615229,141,0,0,-1,-1
warm,shadow,9,55990780,0,0,0,-1,-1
warm,off,9,57890136,0,0,0,-1,-1
warm,shadow,10,57345059,0,0,0,-1,-1
warm,off,10,56680258,0,0,0,-1,-1
warm,on,10,57967811,141,0,0,-1,-1
warm,off,11,57929330,0,0,0,-1,-1
warm,on,11,56723729,141,0,0,-1,-1
warm,shadow,11,55214601,0,0,0,-1,-1
warm,on,12,57951922,141,0,0,-1,-1
warm,shadow,12,57223282,0,0,0,-1,-1
warm,off,12,57307128,0,0,0,-1,-1
cold,shadow,1,176573454,0,0,8915,0,18432
cold,off,1,1163801329,0,0,17837,0,18432
cold,on,1,173379725,141,8922,8915,0,18432
cold,off,2,1147173618,0,0,17837,0,18432
cold,on,2,173892195,141,8915,8922,0,18432
cold,shadow,2,169682427,0,0,8922,0,18432
cold,on,3,173274523,141,8922,8915,0,18432
cold,shadow,3,171676519,0,0,8915,0,18432
cold,off,3,1162293285,0,0,17837,0,18432
cold,shadow,4,167968511,0,0,8922,0,18432
cold,off,4,1153607641,0,0,17837,0,18432
cold,on,4,170399131,141,8915,8922,0,18432
cold,off,5,1154473516,0,0,17837,0,18432
cold,on,5,174689405,141,8922,8915,0,18432
cold,shadow,5,174823745,0,0,8915,0,18432
cold,on,6,171137743,141,8915,8922,0,18432
cold,shadow,6,166257893,0,0,8922,0,18432
cold,off,6,1156224835,0,0,17837,0,18432
cold,shadow,7,175145090,0,0,8915,0,18432
cold,off,7,1151356016,0,0,17837,0,18432
cold,on,7,172253163,141,8922,8915,0,18432
cold,off,8,1154520785,0,0,17837,0,18432
cold,on,8,171664717,141,8915,8922,0,18432
cold,shadow,8,168014503,0,0,8922,0,18432
cold,on,9,172917096,141,8922,8915,0,18432
cold,shadow,9,173828498,0,0,8915,0,18432
cold,off,9,1158826262,0,0,17837,0,18432
cold,shadow,10,167899482,0,0,8922,0,18432
cold,off,10,1149418249,0,0,17837,0,18432
cold,on,10,171397025,141,8915,8922,0,18432
cold,off,11,1154666667,0,0,17837,0,18432
cold,on,11,175311175,141,8922,8915,0,18432
cold,shadow,11,173512068,0,0,8915,0,18432
cold,on,12,171499029,141,8915,8922,0,18432
cold,shadow,12,167682915,0,0,8922,0,18432
cold,off,12,1167140154,0,0,17837,0,18432
