threads,round,position,mode,case,samples,median_ns,p25_ns,p75_ns,root
15,1,1,baseline,root_cached/1000/discard,100,351,340,361,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
15,1,1,baseline,update_root/1000/1/discard,100,4348,4308,4379,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
15,1,1,baseline,root_dirty/1000/1/discard,100,4027,3957,4088,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
15,1,1,baseline,update_root/1000/100/discard,100,105017,100168,114605,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
15,1,1,baseline,root_dirty/1000/100/discard,100,89658,84398,96932,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
15,1,1,baseline,update_root/1000/1000/discard,100,381455,372679,387187,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
15,1,1,baseline,root_dirty/1000/1000/discard,100,170911,164739,176622,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
15,1,1,baseline,root_cached/1000/retain,100,371,351,391,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
15,1,1,baseline,update_root/1000/1/retain,100,4579,4558,4609,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
15,1,1,baseline,root_dirty/1000/1/retain,100,4258,4238,4298,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
15,1,1,baseline,update_root/1000/100/retain,100,116859,114484,119975,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
15,1,1,baseline,root_dirty/1000/100/retain,100,92564,89347,95610,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
15,1,1,baseline,update_root/1000/1000/retain,100,354866,344426,362029,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
15,1,1,baseline,root_dirty/1000/1000/retain,100,143961,139692,147967,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
15,1,1,baseline,root_cached/32768/discard,100,871,811,982,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,1,1,baseline,update_root/32768/1/discard,100,7805,7454,8195,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,1,baseline,root_dirty/32768/1/discard,100,7855,7634,8125,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,1,baseline,update_root/32768/3276/discard,100,1159205,1144757,1176627,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
15,1,1,baseline,root_dirty/32768/3276/discard,100,398537,389671,416502,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
15,1,1,baseline,update_root/32768/32768/discard,100,9084071,8994784,9195610,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
15,1,1,baseline,root_dirty/32768/32768/discard,100,943871,889719,1058395,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
15,1,1,baseline,root_cached/32768/retain,100,811,751,912,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,1,1,baseline,update_root/32768/1/retain,100,8506,8306,8696,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,1,baseline,root_dirty/32768/1/retain,100,8055,7825,8255,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,1,baseline,update_root/32768/3276/retain,100,1351316,1326308,1402801,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
15,1,1,baseline,root_dirty/32768/3276/retain,100,590558,572945,619612,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
15,1,1,baseline,update_root/32768/32768/retain,100,9414722,9336816,9501454,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
15,1,1,baseline,root_dirty/32768/32768/retain,100,1322461,1232662,1414855,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
15,1,2,candidate,root_cached/1000/discard,100,60,50,60,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
15,1,2,candidate,update_root/1000/1/discard,100,4088,4058,4137,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
15,1,2,candidate,root_dirty/1000/1/discard,100,3827,3807,3848,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
15,1,2,candidate,update_root/1000/100/discard,100,89077,83958,93285,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
