threads,round,position,mode,case,samples,median_ns,p25_ns,p75_ns,root
1,1,1,baseline,root_cached/1000/discard,100,40,31,40,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,1,baseline,update_root/1000/1/discard,100,4057,4028,4088,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,root_dirty/1000/1/discard,100,3817,3787,3837,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,update_root/1000/100/discard,100,158648,157776,159760,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,root_dirty/1000/100/discard,100,82194,81683,83677,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,update_root/1000/1000/discard,100,348945,347803,350057,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_dirty/1000/1000/discard,100,187753,187342,188264,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_cached/1000/retain,100,40,40,40,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,1,baseline,update_root/1000/1/retain,100,4419,4379,4458,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,root_dirty/1000/1/retain,100,4108,4087,4138,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,update_root/1000/100/retain,100,111710,111389,112090,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,root_dirty/1000/100/retain,100,93976,93735,94226,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,update_root/1000/1000/retain,100,373691,372288,377809,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_dirty/1000/1000/retain,100,210756,210084,212690,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_cached/32768/discard,100,100,80,120,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,1,baseline,update_root/32768/1/discard,100,8686,8406,8897,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,root_dirty/32768/1/discard,100,7815,7595,8035,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,update_root/32768/3276/discard,100,3385233,3367210,3394651,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,root_dirty/32768/3276/discard,100,2706069,2702412,2711479,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,update_root/32768/32768/discard,100,15894270,15824680,16130704,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,1,baseline,root_dirty/32768/32768/discard,100,9154531,9124555,9203773,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,1,baseline,root_cached/32768/retain,100,50,40,110,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,1,baseline,update_root/32768/1/retain,100,9077,8606,9648,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,root_dirty/32768/1/retain,100,8166,7925,8496,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,update_root/32768/3276/retain,100,3821121,3802096,3842822,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,root_dirty/32768/3276/retain,100,3148098,3134293,3161353,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,update_root/32768/32768/retain,100,17019082,16700764,17465298,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,1,baseline,root_dirty/32768/32768/retain,100,9979350,9932040,10029874,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_cached/1000/discard,100,40,40,50,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,2,candidate,update_root/1000/1/discard,100,4127,4078,4228,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,root_dirty/1000/1/discard,100,3807,3787,3847,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,update_root/1000/100/discard,100,97634,97072,99507,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,root_dirty/1000/100/discard,100,82084,81724,82695,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,update_root/1000/1000/discard,100,345749,344837,348264,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_dirty/1000/1000/discard,100,187302,186330,188774,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_cached/1000/retain,100,40,30,40,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,2,candidate,update_root/1000/1/retain,100,4409,4388,4448,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,root_dirty/1000/1/retain,100,4118,4098,4138,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,update_root/1000/100/retain,100,111699,111399,112161,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,root_dirty/1000/100/retain,100,94037,93606,94818,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,update_root/1000/1000/retain,100,377619,374473,383681,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_dirty/1000/1000/retain,100,209714,209313,210455,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_cached/32768/discard,100,101,70,140,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,2,candidate,update_root/32768/1/discard,100,7213,7093,7394,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,root_dirty/32768/1/discard,100,6893,6753,7063,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,update_root/32768/3276/discard,100,3334258,3326994,3343405,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,root_dirty/32768/3276/discard,100,2691131,2681712,2697673,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,update_root/32768/32768/discard,100,15470685,15404932,15553490,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_dirty/32768/32768/discard,100,8951109,8924810,9013316,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_cached/32768/retain,100,90,60,140,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,2,candidate,update_root/32768/1/retain,100,9067,8786,9407,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,root_dirty/32768/1/retain,100,7955,7804,8146,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,update_root/32768/3276/retain,100,3745139,3737354,3756551,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,root_dirty/32768/3276/retain,100,3085681,3072126,3103374,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,update_root/32768/32768/retain,100,16346569,16260267,16562635,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_dirty/32768/32768/retain,100,9711045,9676881,9806234,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,3,candidate,root_cached/1000/discard,100,40,40,40,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,3,candidate,update_root/1000/1/discard,100,4078,4058,4118,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,3,candidate,root_dirty/1000/1/discard,100,3868,3837,3908,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,3,candidate,update_root/1000/100/discard,100,98004,97012,155873,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,3,candidate,root_dirty/1000/100/discard,100,81493,81272,82344,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,3,candidate,update_root/1000/1000/discard,100,346651,344958,347412,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,3,candidate,root_dirty/1000/1000/discard,100,186099,185689,186640,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,3,candidate,root_cached/1000/retain,100,40,40,50,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,3,candidate,update_root/1000/1/retain,100,4368,4338,4408,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,3,candidate,root_dirty/1000/1/retain,100,4028,4007,4058,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,3,candidate,update_root/1000/100/retain,100,110988,110728,111329,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,3,candidate,root_dirty/1000/100/retain,100,93525,93335,93736,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,3,candidate,update_root/1000/1000/retain,100,377589,375334,379943,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,3,candidate,root_dirty/1000/1000/retain,100,209934,209514,210716,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,3,candidate,root_cached/32768/discard,100,160,81,190,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,3,candidate,update_root/32768/1/discard,100,7605,7464,7815,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,3,candidate,root_dirty/32768/1/discard,100,6442,6332,6583,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,3,candidate,update_root/32768/3276/discard,100,3333847,3323998,3360386,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
