threads,case,runs_per_mode,samples_per_run,baseline_median_ns,baseline_p25_ns,baseline_p75_ns,candidate_median_ns,candidate_p25_ns,candidate_p75_ns,speedup,reduction_percent
1,reveal/1000/1,4,100,455.5,431.0,480.25,471.0,468.5,478.5,0.9671,-3.4
1,reveal/1000/100,4,100,46853.0,46034.0,47601.75,47414.0,47316.5,47451.5,0.9882,-1.2
1,reveal/1000/1000,4,100,280411.5,277198.25,284356.0,284909.5,283797.75,286071.5,0.9842,-1.6
1,reveal/32768/1,4,100,691.0,671.0,718.5,606.5,599.25,613.75,1.1393,12.23
1,reveal/32768/3276,4,100,1648679.0,1621101.75,1674037.25,1626036.5,1614547.5,1638382.25,1.0139,1.37
1,reveal/32768/32768,4,100,11838441.0,11804622.5,11856324.75,11510952.0,11481829.75,11533126.0,1.0285,2.77
15,reveal/1000/1,4,100,425.5,421.0,442.75,460.5,455.25,461.0,0.924,-8.23
15,reveal/1000/100,4,100,48511.5,48298.25,49035.0,47699.5,47368.75,47982.5,1.017,1.67
15,reveal/1000/1000,4,100,277966.5,276255.25,280401.5,286147.0,284794.25,288381.25,0.9714,-2.94
15,reveal/32768/1,4,100,661.5,652.0,683.75,601.0,598.5,603.5,1.1007,9.15
15,reveal/32768/3276,4,100,3069716.0,3065036.75,3073385.75,2829871.0,2807010.75,2850386.75,1.0848,7.81
15,reveal/32768/32768,4,100,13052313.5,12414922.5,13736449.75,11842548.5,11399870.0,11980805.75,1.1022,9.27
