case,mode,samples,median_ns,p25_ns,p75_ns
legacy/unchanged,baseline,100,3260665,3256267,3379950
legacy/unchanged,optimized,100,536411,530971,546861
packed/unchanged,baseline,100,2999724,2998621,3005855
packed/unchanged,optimized,100,531732,530179,535860
legacy/replace,baseline,100,3353941,3257059,3382164
legacy/replace,optimized,100,2819704,2816428,2823862
packed/replace,baseline,100,2999163,2997870,3006436
packed/replace,optimized,100,2998791,2997650,3000194
legacy/resize,baseline,100,5510766,5400628,5525674
legacy/resize,optimized,100,4963965,4960558,5392263
packed/resize,baseline,100,5090804,5089541,5093309
packed/resize,optimized,100,5089953,4654121,5092507
legacy/mixed,baseline,100,3252008,2856172,3265013
legacy/mixed,optimized,100,2817400,2814383,2819984
packed/mixed,baseline,100,2999372,2997959,3000254
packed/mixed,optimized,100,2559975,2437383,2561598
legacy/sparse_replace,baseline,100,1184662,1171708,1198339
legacy/sparse_replace,optimized,100,1195232,1181426,1216373
packed/sparse_replace,baseline,100,1115142,1098610,1158564
packed/sparse_replace,optimized,100,1123377,1103279,1171127
legacy/sparse_resize,baseline,100,2415161,1993456,2432394
legacy/sparse_resize,optimized,100,2427324,1993948,2433135
packed/sparse_resize,baseline,100,2175159,2171623,2178846
packed/sparse_resize,optimized,100,2175520,2172584,2178235
legacy/append,baseline,100,2818261,2815616,2820986
legacy/append,optimized,100,2357833,2254719,2380846
packed/append,baseline,100,2437564,2435590,2557299
packed/append,optimized,100,1999007,1998176,2006441
