case,mode,samples,median_ns,p25_ns,p75_ns
legacy/unchanged,baseline,100,3261496,3254743,3379659
legacy/unchanged,optimized,100,528336,519599,544937
packed/unchanged,baseline,100,2999302,2997959,2999823
packed/unchanged,optimized,100,526242,525140,528636
legacy/replace,baseline,100,3377464,3255866,3382674
legacy/replace,optimized,100,2817469,2813823,2821056
packed/replace,baseline,100,2999332,2998369,3000123
packed/replace,optimized,100,2999141,2997949,3000133
legacy/resize,baseline,100,5517036,5399854,5527886
legacy/resize,optimized,100,4963923,4961339,4966599
packed/resize,baseline,100,5049023,5046418,5052610
packed/resize,optimized,100,4613392,4486373,5048602
legacy/mixed,baseline,100,2931093,2929490,3252588
legacy/mixed,optimized,100,2813090,2459754,2825063
packed/mixed,baseline,100,2999541,2998931,2999892
packed/mixed,optimized,100,2534105,2435989,2562268
legacy/sparse_replace,baseline,100,1177970,1166107,1202566
legacy/sparse_replace,optimized,100,1177839,1165316,1198027
packed/sparse_replace,baseline,100,1121413,1099161,1166467
packed/sparse_replace,optimized,100,1127354,1105654,1174733
legacy/sparse_resize,baseline,100,2016950,1996422,2432263
legacy/sparse_resize,optimized,100,2412715,1995029,2429888
packed/sparse_resize,baseline,100,2175419,2172864,2178524
packed/sparse_resize,optimized,100,2176060,2173455,2180638
legacy/append,baseline,100,2818961,2815254,2821946
legacy/append,optimized,100,2348695,2253967,2381627
packed/append,baseline,100,2442502,2434467,2562748
packed/append,optimized,100,1998866,1998025,2002713
