run,metric,samples,first_sample_offset_ms,last_sample_gap_ms,sampled_peak_bytes,scrape_p50_bytes,scrape_p95_bytes,first_bytes,last_bytes
baseline-6,reth_jemalloc_metadata,133,46,8727,53614464.0,49468032.0,53351091.2,42994928.0,53614464.0
baseline-6,reth_jemalloc_retained,133,46,8727,2899894272.0,2430148608.0,2812066201.6,2255106048.0,2896760832.0
feature-1,reth_process_resident_memory_bytes,132,45,8635,10966720512.0,8961236992.0,10761672294.4,5857771520.0,10966720512.0
feature-1,reth_process_virtual_memory_bytes,132,45,8635,8825499901952.0,8824874061824.0,8825340642918.4,8809706930176.0,8825499901952.0
feature-1,reth_process_virtual_memory_max_bytes,132,45,8635,0.0,0.0,0.0,0.0,0.0
feature-1,reth_jemalloc_allocated,132,45,8635,4169165152.0,3933703496.0,4134060454.0,3590848184.0,4083272776.0
feature-1,reth_jemalloc_active,132,45,8635,4273909760.0,4035794944.0,4238131200.0,3691954176.0,4205699072.0
feature-1,reth_jemalloc_resident,132,45,8635,4524404736.0,4301412352.0,4492254617.6,3923881984.0,4452110336.0
feature-1,reth_jemalloc_mapped,132,45,8635,4653584384.0,4431511552.0,4621639884.8,4047863808.0,4578021376.0
feature-1,reth_jemalloc_metadata,132,45,8635,53858432.0,49636736.0,53600544.0,43210608.0,53858432.0
feature-1,reth_jemalloc_retained,132,45,8635,2887315456.0,2445201408.0,2768486809.6,2284486656.0,2887315456.0
feature-2,reth_process_resident_memory_bytes,131,47,8599,10977386496.0,8953909248.0,10742171648.0,5816180736.0,10977386496.0
feature-2,reth_process_virtual_memory_bytes,131,47,8599,8825464250368.0,8824853860352.0,8825304647680.0,8809672327168.0,8825464250368.0
feature-2,reth_process_virtual_memory_max_bytes,131,47,8599,0.0,0.0,0.0,0.0,0.0
feature-2,reth_jemalloc_allocated,131,47,8599,4165915704.0,3925452264.0,4126138240.0,3590831536.0,4117056312.0
feature-2,reth_jemalloc_active,131,47,8599,4268572672.0,4035518464.0,4231374848.0,3690627072.0,4221952000.0
feature-2,reth_jemalloc_resident,131,47,8599,4524437504.0,4292935680.0,4492126208.0,3878662144.0,4491956224.0
feature-2,reth_jemalloc_mapped,131,47,8599,4653621248.0,4422795264.0,4619083776.0,4002684928.0,4617895936.0
feature-2,reth_jemalloc_metadata,131,47,8599,53830528.0,49696256.0,51454912.0,43162352.0,53830528.0
feature-2,reth_jemalloc_retained,131,47,8599,2835185664.0,2441097216.0,2792439808.0,2295062528.0,2811789312.0
feature-3,reth_process_resident_memory_bytes,132,46,8596,11016798208.0,8981889024.0,10756850073.599998,5817438208.0,11016798208.0
feature-3,reth_process_virtual_memory_bytes,132,46,8596,8825470541824.0,8824868818944.0,8825341534208.0,8809671278592.0,8825470541824.0
feature-3,reth_process_virtual_memory_max_bytes,132,46,8596,0.0,0.0,0.0,0.0,0.0
feature-3,reth_jemalloc_allocated,132,46,8596,4161212024.0,3925224472.0,4130875511.6,3590951696.0,4094583488.0
feature-3,reth_jemalloc_active,132,46,8596,4264628224.0,4030541824.0,4234305945.6,3690528768.0,4214435840.0
feature-3,reth_jemalloc_resident,132,46,8596,4522921984.0,4305655808.0,4491726438.4,3870117888.0,4494659584.0
feature-3,reth_jemalloc_mapped,132,46,8596,4652081152.0,4434984960.0,4619499929.6,3994238976.0,4620509184.0
feature-3,reth_jemalloc_metadata,132,46,8596,53917056.0,49699456.0,51546483.2,43067632.0,53917056.0
