case,mincore,sample,durable_ns,write_ns,commit_ns,mincore_calls,prefault_writes,minor_faults,major_faults,resident_pages_before,total_pages,new_pages,cow_pages,write_ops,msync_calls,fsync_calls,last_page
warm,0,1,65293850,18034548,47259091,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,2,64469704,18194598,46274845,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,3,65582021,18509800,47071800,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,4,64908146,18431763,46476082,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,5,63645537,17963685,45681652,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,6,65181760,18695128,46486332,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,7,64845999,18473732,46371586,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,8,62895991,18030581,44865150,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,9,63910835,17954878,45955757,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,10,64637358,18068452,46568626,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,11,65204222,18071167,47132744,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,12,65173734,18680580,46492453,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,1,62905338,17083854,45821204,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,2,62424647,17182530,45241816,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,3,61497988,17207526,44290131,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,4,63607596,17280183,46327163,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,5,62256380,17165998,45090122,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,6,62235241,17269914,44965017,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,7,62520006,17105254,45414601,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,8,61369316,17142825,44226381,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,9,61999940,17136794,44863046,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,10,61835892,17137465,44698227,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,11,61521842,17213457,44308245,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,12,62584997,16945915,45638962,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
cold,0,1,464117535,419310104,44806950,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,2,177280859,132251752,45028717,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,3,169480302,124667140,44812891,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,4,167663935,122717192,44946362,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,5,170466443,125141721,45324351,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,6,167780934,123475435,44305089,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,7,169183756,124561091,44622213,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,8,172797707,127743743,45053583,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,9,173257911,125994792,47262728,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,10,168693616,123767412,44925823,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,11,170232825,125135199,45097425,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,12,167603251,122772435,44830515,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
