case,mincore,sample,durable_ns,write_ns,commit_ns,mincore_calls,prefault_writes,minor_faults,major_faults,resident_pages_before,total_pages,new_pages,cow_pages,write_ops,msync_calls,fsync_calls,last_page
warm,0,1,60289378,18367242,41921856,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,2,60792391,17832288,42959903,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,3,59642885,18336564,41305991,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,4,60413892,18156827,42256775,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,5,60771243,17923650,42847383,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,6,59154418,18159411,40994666,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,7,59653575,17969616,41683589,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,8,60963994,18048333,42915381,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,9,59966612,17906517,42059895,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,10,60389235,18638610,41749984,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,11,60740694,17884425,42855958,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,12,61142749,18456959,42685489,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,1,58364977,17285802,41078804,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,2,57897670,17260304,40636985,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,3,59145652,17544598,41600833,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,4,58806495,17223456,41582649,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,5,60161298,17201214,42959663,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,6,59654557,17148285,42506142,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,7,58938162,17064216,41873775,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,8,60085997,17239496,42846371,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,9,54953266,17141381,37811715,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,10,58297992,16959881,41337931,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,11,61664398,17037186,44626882,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,12,61542890,17168643,44374097,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
cold,0,1,167042894,124565637,42477027,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,2,165125587,122349398,42775968,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,3,167627691,124307001,43320460,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,4,166128539,123252523,42875776,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,5,167328600,123917581,43410689,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,6,166560769,123094806,43465712,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,7,167702652,124749511,42952750,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,8,168564449,122501332,46062485,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,9,168234670,124539016,43695374,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,10,165540255,122739690,42800004,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,11,166517327,123792355,42724722,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,12,166979795,123721251,43258123,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
