case,mincore,sample,durable_ns,write_ns,commit_ns,mincore_calls,prefault_writes,minor_faults,major_faults,resident_pages_before,total_pages,new_pages,cow_pages,write_ops,msync_calls,fsync_calls,last_page
warm,1,1,59414739,13495761,45918766,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,2,60061070,13917483,46143287,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,3,58281551,13515879,44765372,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,4,60029942,14061363,45968249,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,5,59344497,13515538,45828437,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,6,57580496,13636265,43943820,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,7,58952861,13520808,45431632,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,8,58740312,13550895,45189107,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,9,57642873,13639080,44003502,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,10,59150362,13634923,45515079,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,11,58668508,13464293,45203925,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,12,57639046,13562356,44076399,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,1,58051059,12808392,45242417,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,2,57781854,12873324,44908230,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,3,58517896,12877631,45639813,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,4,57690342,12872272,44817870,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,5,56911932,12744853,44166859,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,6,57613879,12899503,44714075,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,7,56990299,12820104,44169764,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,8,57104494,12930551,44173552,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,9,57389478,12656517,44732530,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,10,56975130,12930722,44044108,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,11,58309014,12711189,45597634,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,12,57937597,12853176,45084120,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
cold,1,1,169236182,125644202,43591670,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,2,167397663,123087614,44309706,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,3,168519898,124672369,43847229,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,4,168541719,123284574,45256794,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,5,170994401,124776524,46217477,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,6,169560650,123888958,45671341,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,7,170136932,124965418,45171214,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,8,172452155,123421791,49030023,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,9,165437284,125338749,40098315,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,10,170733201,123283052,47449778,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,11,172955359,125028707,47926312,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,12,172029592,123280867,48748325,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
