case,mincore,sample,durable_ns,write_ns,commit_ns,mincore_calls,prefault_writes,minor_faults,major_faults,resident_pages_before,total_pages,new_pages,cow_pages,write_ops,msync_calls,fsync_calls,last_page
warm,1,1,57244024,13996721,43247012,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,2,56061405,13480673,42580391,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,3,57506696,14310420,43195766,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,4,56303249,13439887,42863162,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,5,56126326,14165748,41960248,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,6,56174457,13497465,42676652,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,7,56327785,13667273,42660221,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,8,55907997,13937440,41970247,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,9,56052227,13746822,42305135,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,10,56366918,13691959,42674578,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,11,55322269,13566153,41755804,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,12,56021450,13511040,42510210,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,1,55618995,12807069,42811735,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,2,55020081,12944888,42074963,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,3,54403424,12924780,41478474,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,4,55382932,12976427,42406245,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,5,54605623,12801358,41803954,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,6,55074904,12756975,42317609,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,7,54387794,12873514,41513980,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,8,53672583,12977339,40694954,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,9,54920835,12850241,42070284,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,10,54451594,12907948,41543496,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,11,53896944,12877091,41019402,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,12,54950891,12955147,41995133,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
cold,1,1,167149303,124999720,42149222,141,8922,8924,8915,4,18432,10,8914,0,2,0,17848
cold,1,2,164285129,123313155,40971382,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,3,168905487,124705848,44199309,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,4,165317536,123483715,41833590,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,5,165935866,124343839,41591756,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,6,164585533,123036657,41548565,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,7,167196602,124660262,42536058,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,8,166527105,123364010,43162724,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,9,166790349,124983940,41805998,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,10,165319409,122925828,42393290,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,11,171254735,128092473,43161912,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,12,165764754,123859740,41904653,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
