case,mincore,sample,durable_ns,write_ns,commit_ns,mincore_calls,prefault_writes,minor_faults,major_faults,resident_pages_before,total_pages,new_pages,cow_pages,write_ops,msync_calls,fsync_calls,last_page,mode,round,position
warm_open,0,7,62291657,17068385,45223112,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,2
warm_open,0,8,62699343,16793018,45906134,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,2
warm_open,0,9,55200753,17164887,38035696,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,2
warm_open,0,10,59958870,17171740,42786920,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,2
warm_open,0,11,64942241,17059849,47882141,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,2
warm_open,0,12,65092923,17238474,47854048,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,2
cold,0,1,171217583,124966243,46251140,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848,candidate,1,2
cold,0,2,169563330,123308994,46253846,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848,candidate,1,2
cold,0,3,176194041,129434727,46758803,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848,candidate,1,2
cold,0,4,169345110,123115400,46229240,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848,candidate,1,2
cold,0,5,170182792,124019176,46163306,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848,candidate,1,2
cold,0,6,169279497,122981879,46297297,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848,candidate,1,2
cold,0,7,171313273,125396551,45916522,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848,candidate,1,2
cold,0,8,168591757,122713065,45877950,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848,candidate,1,2
cold,0,9,171537013,124685737,46850876,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848,candidate,1,2
cold,0,10,167773842,122035063,45738569,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848,candidate,1,2
cold,0,11,171316078,124821721,46493936,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848,candidate,1,2
cold,0,12,175767601,128875427,46891802,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848,candidate,1,2
warm,0,1,65293850,18034548,47259091,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm,0,2,64469704,18194598,46274845,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm,0,3,65582021,18509800,47071800,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm,0,4,64908146,18431763,46476082,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm,0,5,63645537,17963685,45681652,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm,0,6,65181760,18695128,46486332,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm,0,7,64845999,18473732,46371586,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm,0,8,62895991,18030581,44865150,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm,0,9,63910835,17954878,45955757,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm,0,10,64637358,18068452,46568626,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm,0,11,65204222,18071167,47132744,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm,0,12,65173734,18680580,46492453,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm_open,0,1,62905338,17083854,45821204,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
warm_open,0,2,62424647,17182530,45241816,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848,candidate,1,3
