name,baseline_ms_per_canonical_block,feature_ms_per_canonical_block,change_percent,ci_half_width_percent,diagnostic_verdict
reth_tree_root_sparse_trie_final_update_duration_histogram,0.33710009682524067,0.305512315521644,-9.3704,3.2394,good
reth_tree_root_sparse_trie_process_updates_duration_histogram,8.699031035908133,8.404705816064823,-3.3834,0.6922,neutral
reth_tree_root_sparse_trie_total_duration_histogram,23.041326093032065,23.017933694276095,-0.1015,0.3163,neutral
reth_tree_root_sparse_trie_reveal_multiproof_duration_histogram,4.446077005675386,4.502256162639829,1.2636,1.3464,neutral
reth_tree_root_sparse_trie_channel_wait_duration_histogram,4.985997333264475,5.175687947798415,3.8045,1.3651,neutral
reth_storage_providers_database_save_blocks_write_trie_updates,19.426181947499177,18.866598552276177,-2.8806,0.9379,neutral
reth_storage_providers_database_save_blocks_total,28.34832873041872,27.733880657854083,-2.1675,0.857,neutral
reth_storage_providers_database_save_blocks_commit_mdbx,15.05227524681882,14.862085041429973,-1.2635,2.1787,neutral
reth_storage_providers_database_save_blocks_write_hashed_state,8.234607983381458,8.171681944024252,-0.7642,1.1004,neutral
reth_storage_providers_database_save_blocks_write_state,0.6179085824979061,0.6262843617474593,1.3555,9.3422,neutral
reth_storage_providers_database_save_blocks_insert_block,0.03133887802207541,0.031731475457834016,1.2527,8.2844,neutral
reth_storage_providers_database_save_blocks_update_history_indices,0.0003528986979936833,0.0003368807119827398,-4.539,3.6128,neutral
reth_storage_providers_database_save_blocks_update_pipeline_stages,0.0031884684148814737,0.003121900149895356,-2.0878,2.5841,neutral
