run,metric,samples,first_sample_offset_ms,last_sample_gap_ms,sampled_peak_bytes,scrape_p50_bytes,scrape_p95_bytes,first_bytes,last_bytes
baseline-1,reth_process_resident_memory_bytes,133,46,8764,10994200576.0,8952815616.0,10739461324.8,5809139712.0,10994200576.0
baseline-1,reth_process_virtual_memory_bytes,133,46,8764,8825533976576.0,8824842321920.0,8825386618880.0,8809650302976.0,8825533976576.0
baseline-1,reth_process_virtual_memory_max_bytes,133,46,8764,0.0,0.0,0.0,0.0,0.0
baseline-1,reth_jemalloc_allocated,133,46,8764,4172673840.0,3917298800.0,4123550155.2,3593117856.0,4101657312.0
baseline-1,reth_jemalloc_active,133,46,8764,4277440512.0,4032708608.0,4230377472.0,3693641728.0,4221030400.0
baseline-1,reth_jemalloc_resident,133,46,8764,4525092864.0,4301598720.0,4491848908.8,3874787328.0,4477997056.0
baseline-1,reth_jemalloc_mapped,133,46,8764,4654321664.0,4431749120.0,4621226803.2,3998822400.0,4603940864.0
baseline-1,reth_jemalloc_metadata,133,46,8764,53817216.0,49624320.0,53517900.8,43146096.0,53817216.0
baseline-1,reth_jemalloc_retained,133,46,8764,2930397184.0,2447192064.0,2803068108.7999997,2276904960.0,2895474688.0
baseline-2,reth_process_resident_memory_bytes,134,45,8714,11020197888.0,8968570880.0,10768950067.199999,5823680512.0,11020197888.0
baseline-2,reth_process_virtual_memory_bytes,134,45,8714,8825494654976.0,8824821628928.0,8825364598784.0,8809636147200.0,8825494654976.0
baseline-2,reth_process_virtual_memory_max_bytes,134,45,8714,0.0,0.0,0.0,0.0,0.0
baseline-2,reth_jemalloc_allocated,134,45,8714,4172650152.0,3916642884.0,4122330386.4,3590978328.0,4083108304.0
baseline-2,reth_jemalloc_active,134,45,8714,4277063680.0,4027203584.0,4233701171.2,3690921984.0,4209455104.0
baseline-2,reth_jemalloc_resident,134,45,8714,4546654208.0,4301617152.0,4512783155.2,3880038400.0,4512608256.0
baseline-2,reth_jemalloc_mapped,134,45,8714,4673904640.0,4431882240.0,4638788198.4,4004204544.0,4638588928.0
baseline-2,reth_jemalloc_metadata,134,45,8714,53782912.0,49497920.0,53443353.6,43004656.0,53782912.0
baseline-2,reth_jemalloc_retained,134,45,8714,2821505024.0,2420226048.0,2767759974.4,2257367040.0,2821505024.0
baseline-3,reth_process_resident_memory_bytes,134,47,8768,11005255680.0,8970549248.0,10756240793.6,5835251712.0,11005255680.0
baseline-3,reth_process_virtual_memory_bytes,134,47,8768,8825497276416.0,8824856756224.0,8825363025920.0,8809639817216.0,8825497276416.0
baseline-3,reth_process_virtual_memory_max_bytes,134,47,8768,0.0,0.0,0.0,0.0,0.0
baseline-3,reth_jemalloc_allocated,134,47,8768,4176044176.0,3919145540.0,4124608342.8,3594157984.0,4089479824.0
baseline-3,reth_jemalloc_active,134,47,8768,4279689216.0,4027621376.0,4228702822.4,3693248512.0,4211167232.0
baseline-3,reth_jemalloc_resident,134,47,8768,4509593600.0,4294400000.0,4486318694.4,3901730816.0,4499386368.0
baseline-3,reth_jemalloc_mapped,134,47,8768,4636839936.0,4423557120.0,4613654937.6,4025888768.0,4625412096.0
baseline-3,reth_jemalloc_metadata,134,47,8768,53745920.0,49506304.0,53496396.8,43025904.0,53745920.0
baseline-3,reth_jemalloc_retained,134,47,8768,2858504192.0,2431860736.0,2786304409.6,2239352832.0,2837303296.0
baseline-4,reth_process_resident_memory_bytes,133,46,8824,11006271488.0,8968507392.0,10764797542.4,5840629760.0,11006271488.0
baseline-4,reth_process_virtual_memory_bytes,133,46,8824,8825468440576.0,8824872730624.0,8825335238656.0,8809669701632.0,8825468440576.0
baseline-4,reth_process_virtual_memory_max_bytes,133,46,8824,0.0,0.0,0.0,0.0,0.0
baseline-4,reth_jemalloc_allocated,133,46,8824,4167087040.0,3916068816.0,4125743126.4,3595323184.0,4122259880.0
baseline-4,reth_jemalloc_active,133,46,8824,4270108672.0,4029407232.0,4231372800.0,3696058368.0,4228558848.0
baseline-4,reth_jemalloc_resident,133,46,8824,4562337792.0,4301647872.0,4523848499.2,3903225856.0,4525170688.0
baseline-4,reth_jemalloc_mapped,133,46,8824,4691525632.0,4431765504.0,4651574886.4,4027236352.0,4651122688.0
baseline-4,reth_jemalloc_metadata,133,46,8824,53830016.0,49637504.0,53534208.0,43165040.0,53830016.0
baseline-4,reth_jemalloc_retained,133,46,8824,2818138112.0,2430050304.0,2751845171.2,2267889664.0,2782756864.0
baseline-5,reth_process_resident_memory_bytes,135,46,8838,10986356736.0,8959180800.0,10767267840.0,5833502720.0,10986356736.0
baseline-5,reth_process_virtual_memory_bytes,135,46,8838,8825446944768.0,8824852119552.0,8825313796915.2,8809685954560.0,8825446944768.0
baseline-5,reth_process_virtual_memory_max_bytes,135,46,8838,0.0,0.0,0.0,0.0,0.0
baseline-5,reth_jemalloc_allocated,135,46,8838,4176372392.0,3924584864.0,4127273784.0,3593465128.0,4087050384.0
baseline-5,reth_jemalloc_active,135,46,8838,4281159680.0,4030259200.0,4235183308.8,3693105152.0,4207157248.0
baseline-5,reth_jemalloc_resident,135,46,8838,4535554048.0,4310622208.0,4482553446.4,3892428800.0,4469837824.0
baseline-5,reth_jemalloc_mapped,135,46,8838,4664795136.0,4440739840.0,4612090265.6,4016476160.0,4597862400.0
baseline-5,reth_jemalloc_metadata,135,46,8838,51741312.0,49638784.0,51444313.6,43147504.0,51741312.0
baseline-5,reth_jemalloc_retained,135,46,8838,2826559488.0,2427236352.0,2762830643.2,2294902784.0,2814521344.0
baseline-6,reth_process_resident_memory_bytes,133,46,8818,10945404928.0,8962228224.0,10734351974.4,5830729728.0,10945404928.0
baseline-6,reth_process_virtual_memory_bytes,133,46,8818,8825483120640.0,8824874663936.0,8825342108467.2,8809682808832.0,8825483120640.0
baseline-6,reth_process_virtual_memory_max_bytes,133,46,8818,0.0,0.0,0.0,0.0,0.0
baseline-6,reth_jemalloc_allocated,133,46,8818,4177003192.0,3916557440.0,4119350297.6,3594481768.0,4070912648.0
baseline-6,reth_jemalloc_active,133,46,8818,4281352192.0,4025966592.0,4225283686.4,3694100480.0,4192083968.0
baseline-6,reth_jemalloc_resident,133,46,8818,4524044288.0,4298264576.0,4474190233.6,3894616064.0,4479238144.0
baseline-6,reth_jemalloc_mapped,133,46,8818,4653244416.0,4428062720.0,4601683968.0,4018696192.0,4605222912.0
baseline-6,reth_jemalloc_metadata,133,46,8818,53785216.0,49581696.0,53574118.4,43111536.0,53785216.0
baseline-6,reth_jemalloc_retained,133,46,8818,2870804480.0,2450857984.0,2799313715.2,2289537024.0,2843336704.0
