threads,round,position,mode,case,samples,median_ns,p25_ns,p75_ns,root
15,1,1,baseline,root_cached/1000/discard,100,60,60,60,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
15,1,1,baseline,update_root/1000/1/discard,100,4098,4068,4138,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
15,1,1,baseline,root_dirty/1000/1/discard,100,3897,3867,3927,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
15,1,1,baseline,update_root/1000/100/discard,100,91962,88055,96110,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
15,1,1,baseline,root_dirty/1000/100/discard,100,72346,68799,76413,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
15,1,1,baseline,update_root/1000/1000/discard,100,353473,346650,363111,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
15,1,1,baseline,root_dirty/1000/1000/discard,100,123652,118873,130665,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
15,1,1,baseline,root_cached/1000/retain,100,40,40,41,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
15,1,1,baseline,update_root/1000/1/retain,100,4508,4479,4539,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
15,1,1,baseline,root_dirty/1000/1/retain,100,4108,4088,4128,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
15,1,1,baseline,update_root/1000/100/retain,100,97813,93506,102723,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
15,1,1,baseline,root_dirty/1000/100/retain,100,75090,71334,80541,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
15,1,1,baseline,update_root/1000/1000/retain,100,361027,356087,367590,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
15,1,1,baseline,root_dirty/1000/1000/retain,100,148989,138851,161653,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
15,1,1,baseline,root_cached/32768/discard,100,80,60,110,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,1,1,baseline,update_root/32768/1/discard,100,8025,7864,8265,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,1,baseline,root_dirty/32768/1/discard,100,6953,6833,7163,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,1,baseline,update_root/32768/3276/discard,100,1109631,1095695,1124268,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
15,1,1,baseline,root_dirty/32768/3276/discard,100,414237,377197,427451,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
15,1,1,baseline,update_root/32768/32768/discard,100,8947382,8692383,9143470,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
15,1,1,baseline,root_dirty/32768/32768/discard,100,1029190,910989,1160226,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
15,1,1,baseline,root_cached/32768/retain,100,70,60,110,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,1,1,baseline,update_root/32768/1/retain,100,8736,8546,9017,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,1,baseline,root_dirty/32768/1/retain,100,7043,6913,7234,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,1,baseline,update_root/32768/3276/retain,100,1296351,1280482,1315377,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
15,1,1,baseline,root_dirty/32768/3276/retain,100,527679,507051,540143,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
15,1,1,baseline,update_root/32768/32768/retain,100,9417344,9355447,9504517,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
15,1,1,baseline,root_dirty/32768/32768/retain,100,1114771,1059527,1173150,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
15,1,2,candidate,root_cached/1000/discard,100,60,60,60,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
15,1,2,candidate,update_root/1000/1/discard,100,4127,4098,4158,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
15,1,2,candidate,root_dirty/1000/1/discard,100,3928,3897,3968,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
15,1,2,candidate,update_root/1000/100/discard,100,82365,79750,85320,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
15,1,2,candidate,root_dirty/1000/100/discard,100,67887,66004,70251,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
15,1,2,candidate,update_root/1000/1000/discard,100,266930,260689,274195,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
15,1,2,candidate,root_dirty/1000/1000/discard,100,120556,116118,124754,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
15,1,2,candidate,root_cached/1000/retain,100,40,40,50,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
15,1,2,candidate,update_root/1000/1/retain,100,4408,4379,4448,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
15,1,2,candidate,root_dirty/1000/1/retain,100,4068,4057,4088,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
