threads,case,runs_per_mode,samples_per_run,baseline_median_ns,baseline_p25_ns,baseline_p75_ns,candidate_median_ns,candidate_p25_ns,candidate_p75_ns,speedup,reduction_percent
15,root_cached/1000/discard,4,100,55.5,50.75,60.0,55.5,50.75,60.0,1.0,0.0
15,root_cached/1000/retain,4,100,40.0,40.0,40.25,40.0,40.0,40.0,1.0,0.0
15,root_cached/32768/discard,4,100,70.0,60.0,82.5,90.0,90.0,95.0,0.7778,-28.57
15,root_cached/32768/retain,4,100,65.0,60.0,70.0,105.0,92.5,117.5,0.619,-61.54
15,root_dirty/1000/1/discard,4,100,3872.0,3829.75,3904.5,3817.5,3797.0,3860.5,1.0143,1.41
15,root_dirty/1000/1/retain,4,100,4113.0,4105.5,4125.5,4132.5,4089.75,4185.5,0.9953,-0.47
15,root_dirty/1000/100/discard,4,100,70046.0,67809.25,72142.75,69905.5,68758.5,70789.75,1.002,0.2
15,root_dirty/1000/100/retain,4,100,81683.0,79576.5,82697.5,83236.5,80616.25,85218.0,0.9813,-1.9
15,root_dirty/1000/1000/discard,4,100,118973.0,115927.75,121938.25,117550.5,114254.25,120636.25,1.0121,1.2
15,root_dirty/1000/1000/retain,4,100,154835.0,153076.5,155772.0,148408.5,136446.0,150006.5,1.0433,4.15
15,root_dirty/32768/1/discard,4,100,6522.0,6158.75,6900.5,6371.5,6213.75,6574.75,1.0236,2.31
15,root_dirty/32768/1/retain,4,100,6958.0,6825.25,7363.5,7880.0,7569.5,8055.25,0.883,-13.25
15,root_dirty/32768/3276/discard,4,100,353623.5,330289.75,383429.25,341049.0,332180.0,354294.0,1.0369,3.56
15,root_dirty/32768/3276/retain,4,100,542752.5,530474.25,554181.75,532624.0,527318.75,536619.25,1.019,1.87
15,root_dirty/32768/32768/discard,4,100,882029.0,873343.0,924142.75,899692.0,859985.5,949014.25,0.9804,-2.0
15,root_dirty/32768/32768/retain,4,100,1177433.5,1161358.75,1180801.75,1133065.0,1119767.5,1149726.5,1.0392,3.77
15,update_root/1000/1/discard,4,100,4118.0,4085.5,4155.5,4143.0,4135.25,4153.0,0.994,-0.61
15,update_root/1000/1/retain,4,100,4483.5,4475.75,4493.75,4413.0,4408.0,4433.0,1.016,1.57
15,update_root/1000/100/discard,4,100,89197.0,88811.25,89888.25,82465.0,82339.75,82873.0,1.0816,7.55
15,update_root/1000/100/retain,4,100,100853.5,99901.75,101377.25,96551.0,95531.5,98201.75,1.0446,4.27
15,update_root/1000/1000/discard,4,100,345778.5,340593.5,350978.5,265082.0,261378.0,267979.5,1.3044,23.34
15,update_root/1000/1000/retain,4,100,372869.5,365122.75,381222.25,287424.5,274810.75,287745.0,1.2973,22.92
15,update_root/32768/1/discard,4,100,7714.5,7308.75,8072.5,7534.0,7459.0,7787.0,1.024,2.34
15,update_root/32768/1/retain,4,100,8706.5,8533.25,8729.25,9082.5,8849.25,9405.75,0.9586,-4.32
15,update_root/32768/3276/discard,4,100,1079379.5,1078322.5,1087164.0,804905.0,797736.75,810387.5,1.341,25.43
15,update_root/32768/3276/retain,4,100,1297899.0,1292030.5,1302011.75,999303.5,990226.5,1008799.0,1.2988,23.01
15,update_root/32768/32768/discard,4,100,9084724.0,9030172.25,9264420.5,5359467.0,5333285.75,5390099.25,1.6951,41.01
15,update_root/32768/32768/retain,4,100,9418585.5,9403392.5,9421673.0,5553391.0,5507860.5,5585085.5,1.696,41.04
