threads,case,runs_per_mode,samples_per_run,baseline_median_ns,baseline_p25_ns,baseline_p75_ns,candidate_median_ns,candidate_p25_ns,candidate_p75_ns,speedup,reduction_percent
15,update_root/1000/100/discard,4,100,105312.5,104866.75,106522.25,88125.5,87842.25,88506.25,1.195,16.32
15,update_root/1000/100/retain,4,100,115316.5,113711.25,117730.75,102012.0,100985.0,102771.0,1.1304,11.54
15,update_root/1000/1000/discard,4,100,388273.0,383957.0,391872.75,338420.0,327579.75,339547.0,1.1473,12.84
15,update_root/1000/1000/retain,4,100,412394.0,396329.0,415003.75,363026.0,359814.75,368386.25,1.136,11.97
15,update_root/32768/1/discard,4,100,7759.5,7556.5,8058.0,7549.0,7065.25,8105.5,1.0279,2.71
15,update_root/32768/1/retain,4,100,8651.0,8498.5,9184.25,8035.0,7852.25,8165.25,1.0767,7.12
15,update_root/32768/3276/discard,4,100,1147513.0,1133694.25,1159984.0,1094799.0,1083570.25,1103730.75,1.0481,4.59
15,update_root/32768/3276/retain,4,100,1350929.5,1349255.75,1356079.75,1308419.0,1296216.0,1317709.25,1.0325,3.15
15,update_root/32768/32768/discard,4,100,9206905.5,9133595.75,9305738.5,8997253.0,8951857.75,9180391.75,1.0233,2.28
15,update_root/32768/32768/retain,4,100,9436537.5,9394491.25,9511009.0,9497782.0,9461959.5,9541426.75,0.9936,-0.65
