threads,case,runs_per_mode,samples_per_run,baseline_median_ns,baseline_p25_ns,baseline_p75_ns,candidate_median_ns,candidate_p25_ns,candidate_p75_ns,speedup,reduction_percent
1,root_cached/1000/discard,4,100,40.0,40.0,40.0,40.0,40.0,40.0,1.0,0.0
1,root_cached/1000/retain,4,100,40.0,37.75,42.5,40.0,40.0,40.0,1.0,0.0
1,root_cached/32768/discard,4,100,80.0,77.75,82.5,75.0,70.0,80.0,1.0667,6.25
1,root_cached/32768/retain,4,100,85.0,77.5,92.75,60.0,60.0,65.0,1.4167,29.41
1,root_dirty/1000/1/discard,4,100,3872.5,3865.5,3887.0,3867.0,3832.0,3887.25,1.0014,0.14
1,root_dirty/1000/1/retain,4,100,4127.5,4072.75,4177.25,4062.5,4039.5,4087.75,1.016,1.57
1,root_dirty/1000/100/discard,4,100,82254.0,82059.0,96097.25,81848.5,81384.75,95572.25,1.005,0.49
1,root_dirty/1000/100/retain,4,100,94302.5,93879.25,94660.25,93390.0,93299.75,93445.25,1.0098,0.97
1,root_dirty/1000/1000/discard,4,100,189470.5,188992.25,190106.25,185042.0,184524.0,185444.75,1.0239,2.34
1,root_dirty/1000/1000/retain,4,100,212148.0,211812.0,212501.5,208331.0,207942.5,208403.5,1.0183,1.8
1,root_dirty/32768/1/discard,4,100,6827.5,6734.75,7238.75,6061.5,6047.0,6168.75,1.1264,11.22
1,root_dirty/32768/1/retain,4,100,7429.5,7091.25,7865.25,6807.5,6742.0,7161.0,1.0914,8.37
1,root_dirty/32768/3276/discard,4,100,2719210.0,2710819.0,2730240.75,2649464.0,2643815.75,2653877.25,1.0263,2.56
1,root_dirty/32768/3276/retain,4,100,3152642.5,3147192.5,3155728.0,3010200.5,3003460.5,3017581.5,1.0473,4.52
1,root_dirty/32768/32768/discard,4,100,9170639.0,9161922.5,9186980.0,8694757.0,8693868.0,8697679.75,1.0547,5.19
1,root_dirty/32768/32768/retain,4,100,9941004.0,9928508.25,9961537.25,9356653.5,9347656.75,9363308.0,1.0625,5.88
1,update_root/1000/1/discard,4,100,4133.0,4123.0,4148.0,4148.0,4108.0,4175.5,0.9964,-0.36
1,update_root/1000/1/retain,4,100,4523.5,4493.75,4528.0,4398.5,4368.75,4433.0,1.0284,2.76
1,update_root/1000/100/discard,4,100,98640.0,98114.5,113760.5,99461.5,98434.5,113770.5,0.9917,-0.83
1,update_root/1000/100/retain,4,100,111053.0,110913.0,111293.25,110467.0,110296.75,111043.25,1.0053,0.53
1,update_root/1000/1000/discard,4,100,351118.0,350527.0,352343.0,356984.0,350186.5,421692.75,0.9836,-1.67
1,update_root/1000/1000/retain,4,100,380183.0,376834.0,382768.0,371371.5,370289.75,373052.0,1.0237,2.32
1,update_root/32768/1/discard,4,100,7824.5,7484.0,8272.75,6873.0,6692.75,7243.5,1.1384,12.16
1,update_root/32768/1/retain,4,100,8110.0,7862.25,8365.5,7759.5,7649.0,7857.5,1.0452,4.32
1,update_root/32768/3276/discard,4,100,3375265.0,3362589.0,3385208.5,3294684.0,3281754.75,3300958.5,1.0245,2.39
1,update_root/32768/3276/retain,4,100,3829572.0,3824059.5,3835608.25,3696613.0,3694651.25,3699003.0,1.036,3.47
1,update_root/32768/32768/discard,4,100,15839411.0,15795281.0,15873905.75,15157062.0,14984861.25,15289808.5,1.045,4.31
1,update_root/32768/32768/retain,4,100,16767807.5,16674207.25,16876887.0,15979453.5,15916789.0,16145630.0,1.0493,4.7
15,root_cached/1000/discard,4,100,51.0,50.75,53.25,40.0,37.5,40.0,1.275,21.57
15,root_cached/1000/retain,4,100,40.0,40.0,42.5,40.0,40.0,42.5,1.0,0.0
15,root_cached/32768/discard,4,100,80.0,75.0,87.75,65.0,60.0,72.5,1.2308,18.75
