threads,round,position,mode,case,samples,median_ns,p25_ns,p75_ns,root
1,1,2,candidate,root_cached/1000/retain,100,40,40,41,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,2,candidate,update_root/1000/1/retain,100,4428,4388,4469,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,root_dirty/1000/1/retain,100,4078,4057,4108,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,update_root/1000/100/retain,100,110507,110086,110958,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,root_dirty/1000/100/retain,100,93425,93255,93645,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,update_root/1000/1000/retain,100,375374,374152,376486,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_dirty/1000/1000/retain,100,208341,207889,208792,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_cached/32768/discard,100,70,60,70,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,2,candidate,update_root/32768/1/discard,100,6482,6392,6602,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,root_dirty/32768/1/discard,100,6052,5981,6151,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,update_root/32768/3276/discard,100,3299969,3287726,3351124,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,root_dirty/32768/3276/discard,100,2655891,2650471,2661962,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,update_root/32768/32768/discard,100,15288674,15242096,15352544,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_dirty/32768/32768/discard,100,8694597,8684587,8708502,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_cached/32768/retain,100,60,60,60,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,2,candidate,update_root/32768/1/retain,100,7484,7334,7644,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,root_dirty/32768/1/retain,100,6863,6723,7003,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,update_root/32768/3276/retain,100,3700671,3690151,3708625,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,root_dirty/32768/3276/retain,100,2999094,2992653,3010636,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,update_root/32768/32768/retain,100,15953941,15908596,16012080,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_dirty/32768/32768/retain,100,9367298,9319629,9440045,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,3,candidate,root_cached/1000/discard,100,40,30,40,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,3,candidate,update_root/1000/1/discard,100,4198,4158,4238,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,3,candidate,root_dirty/1000/1/discard,100,3888,3867,3917,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,3,candidate,update_root/1000/100/discard,100,155691,154480,156774,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,3,candidate,root_dirty/1000/100/discard,100,135464,134773,136135,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,3,candidate,update_root/1000/1000/discard,100,597891,346681,600286,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,3,candidate,root_dirty/1000/1000/discard,100,184065,183744,184556,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,3,candidate,root_cached/1000/retain,100,40,40,50,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,3,candidate,update_root/1000/1/retain,100,4448,4418,4508,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,3,candidate,root_dirty/1000/1/retain,100,4117,4097,4138,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,3,candidate,update_root/1000/100/retain,100,110427,110026,110717,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
